國文,英文,數學,地理,歷史
63,72,57,97,92
64,88,83,57,100
56,62,54,90,79
95,57,61,94,90
73,81,87,65,61
94,91,91,79,82
50,57,63,64,59
62,83,55,74,97
58,54,56,80,62
59,75,86,78,96
92,77,85,59,90
76,74,88,91,62
80,85,83,91,62
90,75,85,78,57
82,61,99,86,69
92,57,83,66,74
61,76,89,75,72
54,63,98,75,77
99,80,65,82,67
95,84,73,83,76
64,66,78,85,89
58,59,79,100,73
57,52,67,50,80
88,63,60,92,68
79,66,80,87,55
75,57,98,82,85
87,60,92,65,80
66,91,87,53,100
58,53,71,60,88
77,59,75,90,95
72,92,70,98,97
56,52,52,77,76
97,54,88,59,74
98,90,81,63,70
71,81,95,52,83
96,69,64,55,60
92,69,83,72,77
97,77,83,71,87
64,57,72,74,73
57,61,59,97,58
61,62,79,59,57
63,54,71,69,67
51,52,61,100,91
79,76,70,66,60
99,62,73,53,90
75,72,64,63,69
68,75,91,88,93
51,76,67,52,68
96,72,77,86,79
80,52,96,93,80
